student_id,full_name,gender,math_score,english_score,science_score,attendance_rate,term,gpa,risk_score,engagement_level
2137-891,Jennifer Brown,Female,7.0,6.0,66.0,67.15,2023_T2,26.33333333333333,51,Low
6139-546,Michael Davis,Male,50.0,53.0,7.0,98.92,2023_T2,36.66666666666666,1,High
6143-779,Jennifer Taylor,Male,47.0,18.0,3.0,69.21,2024_T1,22.666666666666668,51,Low
6067-782,Robert Moore,Female,48.0,16.0,43.0,60.97,2023_T2,35.666666666666664,51,Low
5930-515,Michael Williams,Male,36.0,23.0,92.0,74.81,2023_T2,50.333333333333336,50,Low
5649-627,John Johnson,Female,66.0,17.0,24.0,94.05,2023_T1,35.666666666666664,1,High
5011-586,James Smith,Male,23.0,31.0,46.0,82.8,2023_T2,33.333333333333336,1,Medium
4185-835,Michael Taylor,Female,65.0,26.0,1.0,99.6,2023_T2,30.666666666666668,1,High
3417-771,Michael Jones,Male,32.0,8.0,42.0,72.9,2023_T1,27.33333333333333,51,Low
9976-556,William Miller,Male,19.0,64.0,7.0,85.12,2024_T1,30.0,1,Medium
5246-869,Linda Wilson,Male,15.0,13.0,75.0,88.08,2024_T1,34.333333333333336,1,Medium
5681-340,Linda Johnson,Female,86.0,62.0,85.0,63.76,2023_T2,77.66666666666667,50,Low
2320-241,Jennifer Moore,Male,57.0,62.0,61.0,73.13,2023_T1,60.0,50,Low
4505-165,Michael Williams,Female,57.0,57.0,85.0,71.46,2023_T2,66.33333333333333,50,Low
8633-525,Jennifer Moore,Male,41.0,69.0,14.0,70.01,2023_T1,41.333333333333336,50,Low
1320-977,Michael Miller,Female,59.0,100.0,96.0,74.41,2023_T2,85.0,50,Low
1475-498,Michael Wilson,Female,39.0,51.0,15.0,87.98,2024_T1,35.0,1,Medium
8657-230,Michael Williams,Male,29.0,18.0,16.0,99.03,2023_T2,21.0,1,High
1823-366,Linda Williams,Female,100.0,89.0,61.0,63.14,2023_T2,83.33333333333333,50,Low
6355-445,Patricia Wilson,Female,8.0,11.0,0.0,93.44,2023_T2,6.333333333333333,1,High
2341-581,Michael Brown,Male,0.0,33.0,95.0,66.93,2024_T1,42.66666666666666,50,Low
5198-885,Patricia Wilson,Female,100.0,85.0,56.0,74.24,2023_T1,80.33333333333333,50,Low
2876-896,Elizabeth Taylor,Male,91.0,68.0,46.0,73.68,2023_T2,68.33333333333333,50,Low
1420-419,Mary Taylor,Female,61.0,68.0,75.0,61.63,2023_T2,68.0,50,Low
4978-204,Patricia Johnson,Female,89.0,47.0,84.0,60.69,2024_T1,73.33333333333333,50,Low
2729-543,Michael Wilson,Female,94.0,9.0,18.0,61.81,2024_T1,40.333333333333336,50,Low
8135-280,Linda Williams,Female,0.0,68.0,3.0,80.13,2024_T1,23.666666666666668,1,Medium
7209-444,Elizabeth Taylor,Male,34.0,32.0,32.0,87.09,2023_T2,32.666666666666664,1,Medium
4954-837,Patricia Johnson,Female,28.0,12.0,11.0,68.27,2023_T2,17.0,51,Low
8800-761,William Jones,Female,1.0,34.0,86.0,64.03,2023_T2,40.333333333333336,50,Low
5820-326,James Johnson,Female,7.0,92.0,25.0,62.85,2024_T1,41.333333333333336,50,Low
7046-584,Patricia Brown,Female,33.0,6.0,67.0,87.26,2023_T2,35.333333333333336,1,Medium
4727-469,Patricia Brown,Male,61.0,95.0,36.0,73.63,2023_T2,64.0,50,Low
3073-380,James Moore,Male,54.0,12.0,22.0,69.54,2023_T1,29.33333333333333,51,Low
3068-753,William Brown,Female,29.0,16.0,61.0,90.18,2023_T1,35.333333333333336,1,High
9056-175,Mary Miller,Male,18.0,75.0,8.0,98.34,2023_T1,33.666666666666664,1,High
5978-187,John Taylor,Male,77.0,94.0,51.0,72.77,2023_T1,74.0,50,Low
4457-370,Mary Jones,Male,15.0,56.0,38.0,97.85,2023_T1,36.333333333333336,1,High
2229-260,Patricia Williams,Male,41.0,57.0,38.0,63.65,2023_T2,45.333333333333336,50,Low
7965-217,Elizabeth Jones,Male,57.0,16.0,6.0,87.52,2024_T1,26.33333333333333,1,Medium
3330-173,John Brown,Male,39.0,41.0,8.0,77.04,2023_T1,29.33333333333333,1,Medium
5728-549,Robert Taylor,Male,65.0,4.0,28.0,92.87,2023_T2,32.333333333333336,1,High
5460-612,Robert Miller,Female,82.0,7.0,64.0,63.39,2023_T2,51.0,50,Low
5557-285,William Wilson,Female,18.0,38.0,66.0,69.95,2024_T1,40.66666666666666,50,Low
8700-456,Linda Johnson,Female,91.0,57.0,19.0,70.15,2023_T2,55.66666666666666,50,Low
3634-437,Jennifer Johnson,Female,60.0,38.0,0.0,64.75,2024_T1,32.666666666666664,51,Low
5135-431,Mary Davis,Male,24.0,55.0,32.0,79.11,2023_T2,37.0,1,Medium
9889-573,William Smith,Female,5.0,57.0,43.0,68.94,2023_T1,35.0,51,Low
2989-129,Linda Wilson,Male,18.0,19.0,56.0,70.12,2024_T1,31.0,51,Low
1224-665,John Brown,Female,48.0,13.0,14.0,80.92,2023_T1,25.0,1,Medium
8560-220,Patricia Johnson,Male,53.0,2.0,15.0,78.18,2023_T2,23.33333333333333,1,Medium
3434-557,Elizabeth Wilson,Female,100.0,40.0,99.0,70.64,2023_T2,79.66666666666667,50,Low
7274-339,Patricia Jones,Female,83.0,76.0,91.0,72.38,2023_T1,83.33333333333333,50,Low
7246-495,Jennifer Wilson,Male,12.0,45.0,34.0,70.84,2023_T2,30.33333333333333,51,Low
9617-567,Linda Johnson,Male,9.0,55.0,29.0,96.77,2024_T1,31.0,1,High
3529-176,John Miller,Female,4.0,32.0,64.0,94.64,2023_T2,33.333333333333336,1,High
2612-878,Mary Miller,Male,0.0,20.0,54.0,61.47,2023_T2,24.666666666666668,51,Low
7141-541,Robert Davis,Male,2.0,52.0,22.0,90.0,2023_T1,25.33333333333333,1,High
8529-361,Linda Brown,Male,50.0,44.0,76.0,65.17,2023_T2,56.66666666666666,50,Low
3588-175,Robert Moore,Female,64.0,31.0,33.0,68.29,2023_T2,42.66666666666666,50,Low
7951-806,Elizabeth Brown,Female,71.0,38.0,25.0,74.33,2023_T2,44.66666666666666,50,Low
7302-973,Robert Jones,Female,53.0,2.0,49.0,79.93,2023_T1,34.666666666666664,1,Medium
7484-381,Robert Smith,Male,56.0,16.0,46.0,95.07,2024_T1,39.333333333333336,1,High
2591-742,Robert Williams,Male,37.0,49.0,97.0,60.58,2023_T2,61.0,50,Low
5835-864,Robert Wilson,Female,3.0,9.0,55.0,97.98,2023_T1,22.33333333333333,1,High
6992-192,Michael Moore,Female,5.0,52.0,65.0,61.83,2023_T1,40.66666666666666,50,Low
3024-565,Robert Moore,Female,42.0,74.0,22.0,73.15,2024_T1,46.0,50,Low
7242-942,Robert Taylor,Female,94.0,74.0,15.0,65.12,2023_T1,61.0,50,Low
1410-734,Patricia Wilson,Female,3.0,55.0,24.0,85.63,2024_T1,27.33333333333333,1,Medium
9850-529,Linda Davis,Male,46.0,85.0,,63.69,2023_T2,65.5,50,Low
7686-386,Mary Wilson,Male,0.0,7.0,98.0,71.08,2024_T1,35.0,51,Low
9920-760,Mary Davis,Female,6.0,2.0,22.0,65.91,2023_T1,10.0,51,Low
1349-151,Patricia Taylor,Female,85.0,89.0,43.0,72.88,2023_T1,72.33333333333333,50,Low
4362-170,John Taylor,Male,17.0,99.0,85.0,74.2,2024_T1,67.0,50,Low
6383-892,Patricia Jones,Male,40.0,100.0,5.0,65.1,2024_T1,48.333333333333336,50,Low
1258-278,Elizabeth Davis,Female,30.0,39.0,100.0,63.21,2023_T1,56.333333333333336,50,Low
9619-216,John Miller,Male,3.0,78.0,5.0,98.78,2023_T2,28.666666666666668,1,High
1710-844,William Jones,Female,67.0,18.0,83.0,67.48,2023_T2,56.0,50,Low
8267-175,Mary Wilson,Male,5.0,49.0,9.0,83.76,2023_T2,21.0,1,Medium
8048-201,William Taylor,Male,74.0,,33.0,64.97,2024_T1,53.5,50,Low
6400-786,James Taylor,Male,41.0,63.0,14.0,89.22,2023_T2,39.333333333333336,1,Medium
9313-317,Mary Taylor,Male,85.0,65.0,9.0,61.34,2024_T1,53.0,50,Low
6062-447,John Brown,Female,22.0,46.0,89.0,69.09,2023_T1,52.333333333333336,50,Low
9691-320,James Johnson,Female,36.0,,,91.6,2023_T2,36.0,1,High
3578-478,Linda Davis,Female,40.0,85.0,10.0,64.17,2024_T1,45.0,50,Low
8242-524,Michael Wilson,Female,62.0,24.0,89.0,73.34,2023_T1,58.333333333333336,50,Low
6655-540,William Johnson,Male,16.0,42.0,58.0,89.5,2023_T2,38.66666666666666,1,Medium
1897-107,Patricia Miller,Male,84.0,48.0,70.0,60.52,2023_T2,67.33333333333333,50,Low
9196-672,William Jones,Female,39.0,18.0,17.0,78.88,2023_T1,24.666666666666668,1,Medium
8033-687,Jennifer Taylor,Female,31.0,9.0,73.0,97.84,2024_T1,37.66666666666666,1,High
2887-514,Michael Brown,Male,31.0,,6.0,99.16,2023_T2,18.5,1,High
8538-951,John Taylor,Female,58.0,71.0,53.0,69.24,2023_T1,60.66666666666666,50,Low
4986-546,Michael Johnson,Female,7.0,33.0,34.0,82.27,2024_T1,24.666666666666668,1,Medium
2251-622,Jennifer Williams,Male,6.0,32.0,22.0,60.52,2024_T1,20.0,51,Low
6724-459,William Jones,Male,81.0,1.0,0.0,85.72,2023_T1,27.33333333333333,1,Medium
5193-302,Mary Williams,Male,86.0,11.0,19.0,75.19,2024_T1,38.66666666666666,1,Medium
8205-169,Jennifer Williams,Female,24.0,72.0,21.0,87.95,2023_T2,39.0,1,Medium
1920-460,Robert Brown,Male,86.0,36.0,74.0,66.87,2023_T2,65.33333333333333,50,Low
1616-158,Linda Wilson,Female,33.0,16.0,36.0,79.92,2023_T2,28.33333333333333,1,Medium
9307-493,Mary Johnson,Female,84.0,26.0,56.0,60.44,2024_T1,55.333333333333336,50,Low
2381-616,Mary Davis,Male,20.0,10.0,39.0,69.81,2023_T1,23.0,51,Low
7347-518,Jennifer Brown,Female,35.0,,82.0,68.6,2024_T1,58.5,50,Low
3317-458,Mary Taylor,Female,50.0,93.0,97.0,60.09,2024_T1,80.0,50,Low
4145-331,Jennifer Wilson,Male,9.0,15.0,70.0,61.58,2023_T1,31.33333333333333,51,Low
2657-619,Mary Brown,Male,78.0,6.0,8.0,72.51,2024_T1,30.666666666666668,51,Low
9749-344,Linda Jones,Female,32.0,15.0,41.0,89.51,2023_T2,29.33333333333333,1,Medium
8218-572,Patricia Davis,Female,12.0,12.0,17.0,99.61,2023_T2,13.666666666666666,1,High
7859-265,William Moore,Male,61.0,92.0,61.0,74.03,2024_T1,71.33333333333333,50,Low
1854-756,John Brown,Female,9.0,29.0,24.0,99.36,2023_T2,20.666666666666668,1,High
9452-971,William Johnson,Male,44.0,13.0,29.0,60.13,2023_T2,28.666666666666668,51,Low
5469-560,Mary Williams,Male,52.0,78.0,72.0,71.09,2023_T2,67.33333333333333,50,Low
9224-482,James Miller,Male,10.0,61.0,,97.79,2023_T2,35.5,1,High
3254-139,Jennifer Williams,Female,89.0,40.0,2.0,67.06,2023_T2,43.66666666666666,50,Low
8349-730,John Wilson,Male,8.0,98.0,19.0,68.65,2023_T1,41.66666666666666,50,Low
1782-344,Robert Johnson,Female,,28.0,,70.62,2024_T1,28.0,51,Low
2029-213,Elizabeth Wilson,Female,,4.0,10.0,73.16,2024_T1,7.0,51,Low
9443-688,William Smith,Male,4.0,47.0,89.0,70.39,2024_T1,46.66666666666666,50,Low
7338-482,Linda Smith,Female,52.0,41.0,99.0,69.55,2024_T1,64.0,50,Low
2106-453,James Davis,Male,,30.0,22.0,95.23,2024_T1,26.0,1,High
3868-950,William Davis,Female,45.0,26.0,,71.48,2024_T1,35.5,51,Low
9444-507,Jennifer Brown,Female,90.0,63.0,16.0,62.71,2023_T2,56.333333333333336,50,Low
5687-465,James Jones,Male,81.0,49.0,13.0,62.32,2024_T1,47.66666666666666,50,Low
3039-918,Jennifer Brown,Female,,6.0,28.0,65.2,2023_T2,17.0,51,Low
9507-373,Linda Davis,Male,38.0,14.0,,64.09,2024_T1,26.0,51,Low
8305-717,Robert Brown,Female,0.0,57.0,,99.36,2023_T1,28.5,1,High
8325-143,Linda Davis,Female,11.0,17.0,14.0,86.07,2024_T1,14.0,1,Medium
1939-176,Michael Brown,Female,92.0,52.0,7.0,68.15,2023_T2,50.333333333333336,50,Low
1530-719,Michael Taylor,Male,59.0,62.0,85.0,68.02,2024_T1,68.66666666666667,50,Low
7095-554,Linda Davis,Male,76.0,80.0,71.0,72.41,2024_T1,75.66666666666667,50,Low
7012-507,John Moore,Female,37.0,31.0,10.0,98.99,2024_T1,26.0,1,High
2858-126,Robert Jones,Male,85.0,50.0,87.0,61.58,2023_T2,74.0,50,Low
2929-368,William Miller,Female,53.0,85.0,,60.73,2024_T1,69.0,50,Low
5678-810,Linda Jones,Female,1.0,,32.0,73.06,2023_T1,16.5,51,Low
2213-562,Mary Williams,Male,65.0,37.0,89.0,74.31,2024_T1,63.66666666666666,50,Low
6236-783,Linda Johnson,Female,48.0,,60.0,66.7,2024_T1,54.0,50,Low
9882-397,Mary Moore,Female,31.0,40.0,75.0,62.08,2023_T1,48.66666666666666,50,Low
9335-329,John Davis,Male,6.0,74.0,83.0,73.58,2023_T1,54.333333333333336,50,Low
9094-126,John Jones,Female,,,13.0,79.24,2024_T1,13.0,1,Medium
8657-922,Elizabeth Davis,Male,44.0,18.0,54.0,66.38,2024_T1,38.66666666666666,51,Low
2208-228,Michael Miller,Female,58.0,2.0,,99.85,2024_T1,30.0,1,High
8632-796,Mary Wilson,Female,96.0,6.0,75.0,61.23,2023_T1,59.0,50,Low
3981-886,William Taylor,Male,36.0,3.0,,93.85,2023_T2,19.5,1,High
6286-826,John Williams,Male,41.0,57.0,11.0,76.87,2023_T2,36.333333333333336,1,Medium
2292-356,William Brown,Male,25.0,7.0,99.0,69.43,2024_T1,43.66666666666666,50,Low
2330-146,James Smith,Female,46.0,30.0,10.0,98.79,2024_T1,28.666666666666668,1,High
5949-594,William Brown,Male,83.0,27.0,36.0,70.1,2024_T1,48.66666666666666,50,Low
8933-575,Linda Miller,Male,,36.0,19.0,99.47,2023_T2,27.5,1,High
6121-982,Elizabeth Williams,Female,58.0,,32.0,67.2,2024_T1,45.0,50,Low
6228-347,William Johnson,Female,42.0,49.0,,70.17,2023_T1,45.5,50,Low
5061-244,Robert Wilson,Male,79.0,,7.0,72.32,2023_T1,43.0,50,Low
5681-649,Elizabeth Wilson,Male,3.0,18.0,69.0,95.14,2023_T1,30.0,1,High
7563-152,Jennifer Smith,Male,14.0,20.0,18.0,84.39,2023_T2,17.333333333333332,1,Medium
2204-495,William Brown,Female,43.0,89.0,10.0,74.93,2024_T1,47.333333333333336,50,Low
2946-231,Robert Taylor,Male,2.0,84.0,25.0,78.54,2023_T2,37.0,1,Medium
6990-873,Jennifer Davis,Male,24.0,11.0,4.0,92.55,2023_T1,13.0,1,High
7438-731,Jennifer Williams,Female,28.0,,34.0,86.8,2024_T1,31.0,1,Medium
8780-935,Elizabeth Brown,Male,12.0,30.0,70.0,67.26,2023_T2,37.333333333333336,51,Low
8775-371,James Taylor,Male,12.0,21.0,20.0,64.49,2024_T1,17.666666666666668,51,Low
2800-295,Patricia Smith,Male,18.0,99.0,59.0,70.99,2023_T2,58.66666666666666,50,Low
3481-522,Jennifer Miller,Male,54.0,68.0,46.0,65.99,2023_T2,56.0,50,Low
8726-993,William Taylor,Male,21.0,47.0,36.0,81.41,2024_T1,34.666666666666664,1,Medium
4397-674,John Moore,Female,77.0,76.0,56.0,69.28,2024_T1,69.66666666666667,50,Low
5038-385,Linda Jones,Female,35.0,2.0,72.0,85.81,2023_T1,36.333333333333336,1,Medium
4396-806,Robert Brown,Female,48.0,,1.0,62.78,2023_T2,24.5,51,Low
5480-394,Linda Davis,Male,71.0,49.0,66.0,70.85,2024_T1,62.0,50,Low
5712-831,Robert Smith,Male,21.0,43.0,57.0,73.34,2023_T2,40.333333333333336,50,Low
8849-319,Linda Brown,Male,79.0,61.0,29.0,68.04,2024_T1,56.333333333333336,50,Low
5450-240,Robert Moore,Male,83.0,2.0,15.0,86.6,2024_T1,33.333333333333336,1,Medium
4972-151,Elizabeth Jones,Male,83.0,64.0,,60.8,2024_T1,73.5,50,Low
2641-523,Patricia Smith,Female,32.0,15.0,,90.21,2024_T1,23.5,1,High
3252-105,Linda Johnson,Male,65.0,84.0,1.0,72.13,2023_T2,50.0,50,Low
4267-874,Linda Wilson,Female,22.0,25.0,67.0,75.88,2023_T2,38.0,1,Medium
4052-866,Michael Wilson,Female,20.0,34.0,65.0,63.24,2023_T1,39.66666666666666,51,Low
2758-443,James Brown,Female,9.0,24.0,65.0,82.92,2023_T2,32.666666666666664,1,Medium
6417-266,Patricia Johnson,Female,7.0,20.0,,74.7,2024_T1,13.5,51,Low
2421-510,William Davis,Male,82.0,33.0,9.0,62.45,2023_T1,41.333333333333336,50,Low
8319-871,Michael Jones,Female,,79.0,15.0,72.13,2023_T2,47.0,50,Low
4618-324,Robert Davis,Male,9.0,86.0,57.0,70.39,2023_T2,50.66666666666666,50,Low
2341-638,Patricia Jones,Female,10.0,,20.0,70.63,2024_T1,15.0,51,Low
2838-163,Jennifer Johnson,Male,51.0,81.0,98.0,66.0,2024_T1,76.66666666666667,50,Low
3695-435,William Williams,Female,12.0,63.0,16.0,91.4,2023_T1,30.33333333333333,1,High
9008-193,Patricia Taylor,Female,40.0,0.0,1.0,86.35,2023_T1,13.666666666666666,1,Medium
8575-788,James Moore,Female,59.0,20.0,27.0,97.21,2024_T1,35.333333333333336,1,High
5169-936,James Miller,Male,33.0,7.0,58.0,85.49,2024_T1,32.666666666666664,1,Medium
1987-170,Mary Moore,Female,87.0,44.0,82.0,62.67,2023_T1,71.0,50,Low
3948-887,Robert Miller,Male,43.0,64.0,86.0,64.23,2024_T1,64.33333333333333,50,Low
7439-641,John Moore,Male,4.0,19.0,20.0,60.48,2024_T1,14.333333333333334,51,Low
9715-488,William Miller,Male,82.0,6.0,27.0,98.83,2023_T1,38.333333333333336,1,High
3541-382,Linda Davis,Male,57.0,4.0,4.0,74.19,2024_T1,21.666666666666668,51,Low
5009-858,Elizabeth Smith,Male,24.0,72.0,65.0,71.82,2023_T2,53.66666666666666,50,Low
4881-409,Elizabeth Davis,Male,61.0,9.0,20.0,81.21,2024_T1,30.0,1,Medium
7775-407,William Jones,Female,90.0,1.0,12.0,65.01,2023_T1,34.333333333333336,51,Low
6642-758,Linda Smith,Female,97.0,10.0,9.0,84.66,2024_T1,38.66666666666666,1,Medium
7688-252,Jennifer Miller,Female,39.0,17.0,54.0,73.53,2023_T2,36.66666666666666,51,Low
8758-346,John Moore,Male,58.0,77.0,88.0,63.8,2023_T2,74.33333333333333,50,Low
1944-675,John Wilson,Female,29.0,83.0,84.0,66.55,2023_T2,65.33333333333333,50,Low
3196-497,William Moore,Male,50.0,45.0,20.0,87.04,2023_T2,38.333333333333336,1,Medium
2295-560,Patricia Davis,Female,31.0,93.0,38.0,71.44,2023_T1,54.0,50,Low
1844-374,William Jones,Female,46.0,17.0,20.0,93.86,2024_T1,27.666666666666668,1,High
1647-994,Elizabeth Taylor,Male,20.0,7.0,45.0,90.2,2023_T1,24.0,1,High
4470-294,Robert Smith,Male,85.0,21.0,88.0,67.1,2024_T1,64.66666666666667,50,Low
7236-577,Jennifer Brown,Female,84.0,78.0,51.0,64.32,2023_T2,71.0,50,Low
7841-402,Robert Moore,Male,18.0,22.0,28.0,71.9,2023_T1,22.666666666666668,51,Low
7223-683,Jennifer Jones,Male,24.0,100.0,7.0,63.75,2023_T2,43.66666666666666,50,Low
5216-881,William Davis,Female,15.0,71.0,0.0,78.46,2024_T1,28.666666666666668,1,Medium
3756-850,Linda Wilson,Female,2.0,64.0,3.0,89.67,2023_T1,23.0,1,Medium
9000-288,John Moore,Male,95.0,63.0,97.0,63.97,2024_T1,85.0,50,Low
1794-882,James Johnson,Male,9.0,20.0,45.0,68.16,2023_T2,24.666666666666668,51,Low
1194-117,William Miller,Female,13.0,33.0,52.0,89.83,2024_T1,32.666666666666664,1,Medium
9228-932,Robert Smith,Female,74.0,15.0,94.0,74.72,2023_T1,61.0,50,Low
9591-252,Mary Johnson,Male,55.0,82.0,100.0,72.22,2023_T1,79.0,50,Low
5135-934,Elizabeth Moore,Female,3.0,19.0,9.0,64.99,2023_T2,10.333333333333334,51,Low
7640-488,James Johnson,Female,3.0,59.0,56.0,84.78,2024_T1,39.333333333333336,1,Medium
1154-819,Linda Smith,Male,16.0,70.0,3.0,75.51,2023_T1,29.666666666666668,1,Medium
4463-988,James Jones,Female,54.0,3.0,23.0,83.2,2023_T2,26.666666666666668,1,Medium
4394-701,Jennifer Smith,Male,18.0,48.0,62.0,60.92,2024_T1,42.66666666666666,50,Low
5903-266,Michael Johnson,Male,21.0,23.0,75.0,63.08,2024_T1,39.66666666666666,51,Low
6580-719,Patricia Johnson,Female,54.0,96.0,17.0,73.13,2023_T2,55.66666666666666,50,Low
8381-602,James Brown,Male,91.0,46.0,74.0,74.86,2023_T2,70.33333333333333,50,Low
8075-290,William Miller,Female,44.0,32.0,16.0,89.34,2023_T1,30.666666666666668,1,Medium
6896-879,Robert Wilson,Female,60.0,9.0,49.0,67.38,2023_T1,39.333333333333336,51,Low
4070-541,John Johnson,Female,93.0,69.0,80.0,66.61,2024_T1,80.66666666666667,50,Low
7685-205,William Moore,Male,50.0,18.0,41.0,97.18,2023_T1,36.333333333333336,1,High
5933-374,John Brown,Female,38.0,34.0,0.0,85.25,2023_T1,24.0,1,Medium
6916-357,Linda Johnson,Male,59.0,59.0,56.0,66.36,2024_T1,58.0,50,Low
7483-440,Robert Smith,Female,23.0,29.0,85.0,60.54,2023_T2,45.66666666666666,50,Low
8055-935,Linda Davis,Male,34.0,54.0,91.0,70.47,2023_T2,59.66666666666666,50,Low
4290-590,Jennifer Taylor,Female,9.0,79.0,15.0,91.49,2023_T1,34.333333333333336,1,High
7161-387,Patricia Davis,Female,44.0,99.0,55.0,62.61,2023_T2,66.0,50,Low
4273-706,Mary Taylor,Male,81.0,56.0,20.0,61.86,2024_T1,52.333333333333336,50,Low
7703-789,Robert Johnson,Female,14.0,81.0,31.0,63.46,2023_T1,42.0,50,Low
2211-559,Michael Miller,Female,20.0,41.0,25.0,95.29,2024_T1,28.666666666666668,1,High
9300-990,Michael Moore,Female,13.0,56.0,36.0,76.75,2024_T1,35.0,1,Medium
9366-864,Robert Jones,Male,40.0,32.0,49.0,73.98,2023_T2,40.333333333333336,50,Low
6225-168,Linda Wilson,Female,97.0,64.0,73.0,69.05,2023_T1,78.0,50,Low
6620-763,Mary Smith,Male,1.0,21.0,56.0,66.63,2024_T1,26.0,51,Low
4371-385,James Jones,Male,6.0,20.0,19.0,68.05,2024_T1,15.0,51,Low
5298-786,Linda Johnson,Female,84.0,78.0,85.0,68.2,2024_T1,82.33333333333333,50,Low
7367-725,Jennifer Taylor,Female,13.0,26.0,39.0,66.46,2024_T1,26.0,51,Low
2388-788,John Brown,Male,2.0,71.0,43.0,62.61,2023_T2,38.66666666666666,51,Low
4043-598,Michael Miller,Male,50.0,10.0,11.0,91.02,2024_T1,23.666666666666668,1,High
7703-801,William Wilson,Female,83.0,69.0,11.0,66.32,2023_T2,54.333333333333336,50,Low
3740-184,Linda Wilson,Male,79.0,2.0,2.0,66.64,2023_T1,27.666666666666668,51,Low
9115-662,Linda Taylor,Male,7.0,100.0,31.0,68.08,2024_T1,46.0,50,Low
9951-323,James Wilson,Female,18.0,31.0,8.0,84.61,2023_T1,19.0,1,Medium
